TIME_PERIOD,OBS_VALUE,Tau
02JAN2020,-0.634843825,1
02JAN2020,-0.62218037,2
02JAN2020,-0.586872197,3
02JAN2020,-0.536992067,4
02JAN2020,-0.478605756,5
02JAN2020,-0.416129815,6
02JAN2020,-0.352675885,7
02JAN2020,-0.290353568,8
02JAN2020,-0.230522633,9
02JAN2020,-0.173995229,10
02JAN2020,-0.121193397,11
02JAN2020,-0.072268898,12
02JAN2020,-0.02719249,13
02JAN2020,0.0141808664,14
02JAN2020,0.0520653215,15
02JAN2020,0.0867114379,16
02JAN2020,0.1183838663,17
02JAN2020,0.1473465924,18
02JAN2020,0.173853615,19
02JAN2020,0.1981434525,20
02JAN2020,0.2204362916,21
02JAN2020,0.2409329132,22
02JAN2020,0.2598147782,23
02JAN2020,0.2772448312,24
02JAN2020,0.2933687198,25
02JAN2020,0.3083162211,26
02JAN2020,0.3222027378,27
02JAN2020,0.3351307758,28
02JAN2020,0.3471913492,29
02JAN2020,0.3584652848,30
03JAN2020,-0.630324019,1
03JAN2020,-0.638365329,2
03JAN2020,-0.615900269,3
03JAN2020,-0.573932456,4
03JAN2020,-0.520394178,5
03JAN2020,-0.460882026,6
03JAN2020,-0.399247357,7
03JAN2020,-0.338058835,8
03JAN2020,-0.278957724,9
03JAN2020,-0.222926287,10
03JAN2020,-0.170487537,11
03JAN2020,-0.121851813,12
03JAN2020,-0.077022861,13
03JAN2020,-0.035873482,14
03JAN2020,0.0018013694,15
03JAN2020,0.0362480192,16
03JAN2020,0.0677294504,17
03JAN2020,0.0965092299,18
03JAN2020,0.122841452,19
03JAN2020,0.1469648596,20
03JAN2020,0.1690998091,21
03JAN2020,0.1894471256,22
03JAN2020,0.2081881757,23
03JAN2020,0.2254856875,24
03JAN2020,0.2414849965,25
03JAN2020,0.2563155004,26
03JAN2020,0.2700921806,27
03JAN2020,0.2829171012,28
03JAN2020,0.2948808304,29
03JAN2020,0.3060637568,30
06JAN2020,-0.637579646,1
06JAN2020,-0.651086052,2
06JAN2020,-0.632548581,3
06JAN2020,-0.593362022,4
06JAN2020,-0.541756925,5
06JAN2020,-0.483555586,6
06JAN2020,-0.422778963,7
06JAN2020,-0.362122307,8
06JAN2020,-0.303320746,9
06JAN2020,-0.247425671,10
06JAN2020,-0.195010656,11
06JAN2020,-0.14632274,12
06JAN2020,-0.101392084,13
06JAN2020,-0.060110316,14
06JAN2020,-0.022285653,15
06JAN2020,0.0123190222,16
06JAN2020,0.0439604175,17
06JAN2020,0.0728979333,18
06JAN2020,0.0993829979,19
06JAN2020,0.1236527448,20
06JAN2020,0.1459266562,21
06JAN2020,0.1664051858,22
06JAN2020,0.1852696649,23
06JAN2020,0.2026830049,24
06JAN2020,0.2187908595,25
06JAN2020,0.2337230217,26
06JAN2020,0.2475949063,27
06JAN2020,0.2605090216,28
